BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3599;-1;<p:>;;;;;;;;;;
3600;959;0;w;;When;w E n;;;;;;;
4560;719;0;I;;When;w E n;;;;;;;
5280;719;0;n;;When;w E n;;;;;;;
6000;719;1;D;;the;D V;;;;;;;
6720;959;1;V;;the;D V;;;;;;;
7680;3599;2;w;;war;w O: R;;;;;;;
11280;1439;2;O:;;war;w O: R;;;;;;;
12720;1679;2;R;;war;w O: R;;;;;;;
14400;1439;3;b;;began;b I g { n;;;;;;;
15840;1679;3;i:;;began;b I g { n;;;;;;;
17520;1919;3;g;;began;b I g { n;;;;;;;
19440;3359;3;{;;began;b I g { n;;;;;;;
22800;1439;3;n;;began;b I g { n;;;;;;;
24240;2639;4;t;;turning;t 3` n I N;;;;;;;
26880;1679;4;3`;;turning;t 3` n I N;;;;;;;
28560;719;4;n;;turning;t 3` n I N;;;;;;;
29280;1199;4;I;;turning;t 3` n I N;;;;;;;
30480;2159;4;N;;turning;t 3` n I N;;;;;;;
32640;1679;5;I;;in;I n;;;;;;;
34320;959;5;n;;in;I n;;;;;;;
35280;2879;6;f;;favour;f { v aU 3`;;;;;;;
38160;2879;6;{;;favour;f { v aU 3`;;;;;;;
41040;1439;6;v;;favour;f { v aU 3`;;;;;;;
42480;959;6;aU;;favour;f { v aU 3`;;;;;;;
43440;959;6;3`;;favour;f { v aU 3`;;;;;;;
44400;719;7;V;;of;V v;;;;;;;
45120;959;7;v;;of;V v;;;;;;;
46080;2159;8;D;;the;D V;;;;;;;
48240;1679;8;V;;the;D V;;;;;;;
49920;1919;9;{;;Allies;{ l aI z;;;;;;;
51840;1919;9;l;;Allies;{ l aI z;;;;;;;
53760;5759;9;aI;;Allies;{ l aI z;;;;;;;
59520;3359;9;z;;Allies;{ l aI z;;;;;;;
62880;3839;-1;<p:>;;;;;;;;;;
66720;719;10;D;;the;D V;;;;;;;
67440;719;10;V;;the;D V;;;;;;;
68160;1199;-1;<p:>;;;;;;;;;;
69360;1919;11;k;;Commission;k V m I S V n;;;;;;;
71280;719;11;V;;Commission;k V m I S V n;;;;;;;
72000;1919;11;m;;Commission;k V m I S V n;;;;;;;
73920;1679;11;I;;Commission;k V m I S V n;;;;;;;
75600;2879;11;S;;Commission;k V m I S V n;;;;;;;
78480;719;11;V;;Commission;k V m I S V n;;;;;;;
79200;719;11;n;;Commission;k V m I S V n;;;;;;;
79920;1439;12;w;;was;w Q z;;;;;;;
81360;1679;12;Q;;was;w Q z;;;;;;;
83040;1679;12;z;;was;w Q z;;;;;;;
84720;3359;13;eI;;able;eI b V l;;;;;;;
88080;959;13;b;;able;eI b V l;;;;;;;
89040;719;13;V;;able;eI b V l;;;;;;;
89760;719;13;l;;able;eI b V l;;;;;;;
90480;2159;14;t;;to;t u:;;;;;;;
92640;719;14;I;;to;t u:;;;;;;;
93360;1199;15;b;;begin;b I g I n;;;;;;;
94560;1439;15;i:;;begin;b I g I n;;;;;;;
96000;2159;15;g;;begin;b I g I n;;;;;;;
98160;1679;15;I;;begin;b I g I n;;;;;;;
99840;959;15;n;;begin;b I g I n;;;;;;;
100800;1199;16;R;;restoring;R I s t O: R I N;;;;;;;
102000;1199;16;I;;restoring;R I s t O: R I N;;;;;;;
103200;2879;16;s;;restoring;R I s t O: R I N;;;;;;;
106080;1199;16;t;;restoring;R I s t O: R I N;;;;;;;
107280;1919;16;O:;;restoring;R I s t O: R I N;;;;;;;
